重庆润栎建筑劳务有限公司	106.559674,29.534276
重庆赢顺环境卫生服务有限责任公司	106.593302,29.551974
重庆通茂农业发展有限公司	106.838437,29.573459
重庆市宇驰检测技术有限公司	106.647070,29.745710
重庆明迅建筑劳务有限公司	106.279341,29.278120
重庆佳建花木专业合作社	106.577997,29.905994
重庆锋春实业有限公司	106.259281,29.290069
重庆幸福林园林工程有限公司	106.518209,29.592804
重庆择贤环保工程有限公司	106.533840,29.375528
重庆桦森建筑工程有限公司	106.566578,29.508222
重庆巴洲文化旅游产业集团有限公司	106.514156,29.473096
重庆铭佳传旗能源科技有限公司	106.597903,29.595637
重庆惠美通信息技术有限公司	106.561656,29.576642
重庆市巴南区荷塘月色餐饮文化有限公司	106.765990,29.348238
社惠思创文化传媒（重庆）有限公司	106.627688,29.491897
重庆蓝拓环保科技有限公司	106.544850,29.576514
重庆略策建设工程有限公司	106.441108,29.514952
重庆市渝北区李言家禽养殖场	106.666029,29.656719
重庆香克尔斯置业有限公司	106.591366,29.653632
重庆玖景园林设计工程有限公司	106.561210,29.520232
重庆京和建筑工程有限公司	106.497251,29.584628
重庆市上锦森商贸有限公司	106.560025,29.534923
杰西优（重庆）商贸有限公司	106.562523,29.606330
重庆嘉慕健康产业发展有限公司	106.533745,29.569913
重庆彭缘汇国际进出口贸易集团有限公司	106.565571,29.285682
重庆市渝北区犀利家庭农场	106.885352,29.900293
重庆市万州区通畅物业管理有限公司	108.385126,30.820115
重庆筑凡鑫建筑工程有限公司	106.370072,29.764588
重庆尚立园林景观工程有限公司	106.528681,29.578167
重庆旭墨劳务有限公司	106.470060,29.621069
重庆市欣业欣苗木经营部（普通合伙）	106.689491,29.849406
重庆合昱地坪工程有限公司	106.544051,29.396533
重庆晶茂鑫装饰建材有限公司	106.572463,29.540835
重庆方向盘旅游产业服务（集团）有限公司	106.345596,29.400367
重庆伽一美作装饰工程有限公司	106.528376,29.587751
重庆新漫谷农业农民专业合作社	106.413118,29.640407
重庆卓泰智慧科技有限公司	106.565449,29.555070
重庆市北碚区良宽小米种植专业合作社	106.570188,29.895387
重庆翠鸟环保工程有限公司	106.620528,29.665028
重庆盛纳南跃人力资源管理有限公司	106.532510,29.571699
重庆市巴南区东河林家庭农场	106.825338,29.434315
重庆市江津区柳阳居农业专业合作社	106.305815,29.238702
重庆圣立澳环保科技有限公司	108.506147,30.756384
重庆斯宾赛建筑劳务有限公司	查询失败
重庆享佳装饰工程有限公司	106.280754,29.273503
重庆光子介科技有限公司	106.598739,29.592443
重庆绿丛园林绿化有限公司	106.620822,29.701010
重庆遂赞建筑劳务有限公司	106.237462,29.274776
麟安科技（重庆）有限公司	106.572745,29.524915
重庆甲递文化传播有限公司	106.559944,29.534739
重庆助瑞农业有限公司	106.391797,29.234968
重庆雅南装饰设计工程有限公司	106.572350,29.589379
重庆筑元建设工程有限公司	106.214219,29.258522
重庆地垄丰农业发展有限责任公司	106.569341,29.525565
重庆丽声装饰工程有限公司	106.623683,29.444852
重庆畅恒建筑工程有限公司	106.597013,29.715139
重庆市紫一一十建筑劳务有限公司	106.116873,29.058581
重庆膜芯科技有限公司	106.612167,29.382338
重庆华煜实业有限公司	106.573089,29.535285
重庆思威齐装饰工程有限公司	106.600736,29.676570
重庆唐家移山工程机械设备有限公司	106.631187,29.718143
重庆林福荣建筑劳务有限公司	106.450640,29.541140
重庆岚岭园农业科技有限公司	106.086518,29.221485
重庆为民大数据研究院（集团）有限公司	106.631187,29.718143
重庆曙鹏建筑劳务有限公司	106.496026,29.584139
重庆鹏庹农业发展有限公司	106.270531,29.430817
重庆市碧水蓝庭园林工程有限公司	106.602258,29.714519
重庆普达瑞信息技术有限公司	106.529833,29.571644
重庆世廷建筑工程设计有限公司	106.509239,29.714858
重庆迎客贸易经营部	106.544618,29.396559
重庆寰土建筑装饰设计有限公司	106.478940,29.555267
重庆恒悦机电设备有限公司	106.529937,29.577489
重庆先池纳礼生态农业发展有限公司	106.514787,29.309865
重庆品逸文化传播有限公司	106.560525,29.491025
重庆鹏腾环保工程有限公司	106.533840,29.375528
重庆市江津区新津沙文化旅游传播有限公司	106.116713,29.060262
重庆途佰建筑劳务有限公司	106.513521,29.584024
重庆国瑞文化旅游发展集团有限公司	106.588565,29.545162
专注实业重庆有限公司	106.556349,29.745761
重庆房优信房地产经纪有限公司	106.573097,29.581703
重庆川茂利房屋拆除有限公司	108.441636,30.756572
重庆市巴南区茂香园水果种植股份合作社	106.516035,29.317411
重庆远驰建筑劳务有限公司	105.934270,28.983458
重庆思辉物业管理有限公司	106.602113,29.596710
重庆新普达建材经营部	108.379547,30.807177
重庆永策建筑装饰工程有限公司	106.568452,29.525988
重庆松栩建筑工程有限公司	106.445122,29.822616
重庆富懋劳务有限公司	106.565720,29.582219
重庆道同建材有限公司	106.623532,29.671865
重庆宏茂园林绿化有限公司	106.514655,29.472285
重庆桦谙园林景观工程有限公司	106.563168,29.412358
重庆造宏机电安装工程有限公司	106.308109,29.602144
重庆优璟炽科技有限公司	106.555151,29.577683
重庆钰志园林工程有限公司	106.525642,29.380697
塔伦斯机电设备（重庆）有限公司	106.566783,29.513690
重庆市达越广告有限公司	106.541099,29.463287
重庆亿源盛建材有限公司	106.445122,29.822616
重庆黄二弯花艺有限公司	108.407111,30.882395
重庆鸿瑜建材经营部	106.614321,29.693946
重庆奥米多生态农业发展有限公司	106.546244,29.236799
重庆珏晟商贸有限公司	106.470259,29.549121
重庆勃益清洁服务有限责任公司	查询失败
重庆日豪雄庄投资有限公司	106.460412,29.557025
重庆博帆护栏有限公司	108.380832,30.796616
希居拾成（重庆）家居设计有限公司	106.575333,29.580611
重庆驭晟建设工程有限公司	106.579850,29.542010
中辰氿顶（重庆）工程项目管理有限公司	106.591190,29.642018
重庆市北碚区霞雨水产养殖场	106.445122,29.822616
重庆森凯环保科技有限公司	106.593472,29.592748
重庆巴博斯环保科技有限公司	106.604683,29.626264
重庆勾陈装饰工程设计有限公司	106.546040,29.464152
重庆淑炼建筑劳务有限公司	106.445122,29.822616
重庆荒野之息旅游发展有限公司	106.519434,29.571762
重庆宗松环保工程有限公司	106.519615,29.378190
重庆实创环保科技有限公司	106.532390,29.584261
林熹（重庆）环保工程服务有限公司	106.529833,29.571644
重庆右帆建筑劳务有限公司	106.471269,29.557546
重庆田申中商贸有限公司	查询失败
中苏投（重庆）规划设计有限公司	查询失败
荣景业恒环保科技（重庆）有限公司	106.498053,29.570429
重庆新东城景观工程有限公司	106.370676,29.500312
重庆胜福劳务有限公司	106.743730,29.969315
重庆什鲜农产品有限公司	106.622789,29.671667
重庆胜业人力资源管理有限公司	106.644518,29.622520
重庆国佰建筑劳务有限公司	108.395314,30.772100
重庆德玮建筑工程有限公司	106.533840,29.375528
重庆珍佳园园林景观工程有限公司	106.572215,29.539133
重庆上岸电子商务有限公司	106.484686,29.732318
重庆行知人力资源管理咨询有限公司	106.527923,29.559069
北城致远重庆五建筑工程有限公司	106.507904,29.599714
重庆市巴南区云开悦容水果种植专业合作社	106.756442,29.414375
重庆照度机电安装有限公司	106.491149,29.580257
重庆鸿京杰科技有限公司	106.614686,29.659846
重庆循利环保科技有限公司	106.456037,29.712786
重庆振洋环保产业有限公司	106.284186,29.593750
重庆仁会物业管理有限公司	106.532330,29.569140
重庆致远土地规划设计有限公司	106.517659,29.537774
重庆市陶冶草堂环保科技有限公司	106.372580,29.519156
重庆禾米生态农业开发有限公司	106.032532,29.101418
重庆拓廷工程管理咨询有限公司	106.445122,29.822616
重庆居家俊业商业管理有限公司	106.564664,29.573085
重庆团发文化旅游发展有限公司	106.611650,29.666010
重庆瑞优装饰工程有限公司	106.591196,29.580432
重庆掘宏建筑劳务有限公司	106.375800,29.599070
重庆青妤阁园林景观工程有限公司	106.537935,29.367253
重庆玉烽装饰工程有限公司	106.463104,29.551429
重庆佳利雅环保技术有限公司	106.437805,29.587469
重庆京川物业管理有限公司	106.515032,29.599069
重庆中虢物业管理有限公司	106.370603,29.479456
西部富裕品牌策划重庆有限公司	106.614359,29.625717
重庆耀沛生物科技有限公司	106.596786,29.668905
重庆市江津区山水阁农业专业合作社	106.023149,29.105452
重庆联友兴贸易有限公司	106.553490,29.575845
重庆君宁装饰工程有限公司	106.496014,29.566652
重庆云泰园林绿化有限公司	106.521909,29.374737
重庆市江津区新缘山现代农业有限公司	106.008528,29.114623
重庆欣富达建筑劳务有限公司	106.274568,29.278498
重庆纵乐多游乐设备有限公司	106.596609,29.568826
重庆胜源晖商贸有限公司	106.650295,29.517147
重庆睿洁环保工程有限公司	106.445122,29.822616
重庆木籽曦园林工程有限公司	106.445122,29.822616
重庆市枫宛农业开发有限公司	106.607762,29.375629
重庆原上草园林绿化工程有限公司	106.605545,29.698001
重庆津度建筑劳务有限公司	106.128561,29.054741
重庆福轮至工程项目管理有限公司	106.278867,29.424768
重庆巨宽建设有限公司	105.932653,28.982131
重庆程扩建筑劳务有限公司	106.288346,29.262878
招采（重庆）商业运营管理中心（有限合伙）	106.572105,29.588251
重庆泰柏宏装饰工程有限公司	106.377613,29.585986
重庆峰华汽车驾驶员培训（集团）有限公司	106.596282,29.597959
重庆汇巨福建筑工程有限公司	查询失败
中商博顺实业集团有限公司	106.637932,29.717430
重庆渝艺建筑劳务有限公司	106.445122,29.822616
重庆恒畔建筑劳务有限公司	106.544758,29.589321
重庆亭皓农业发展有限公司	106.553722,29.367355
重庆天哲装饰工程有限公司	106.319163,29.611078
重庆蕾联化工产品销售有限公司	106.574038,29.498837
重庆巨派机电科技有限公司	106.573080,29.501656
重庆德宇瑞建筑装饰有限公司	106.368451,29.485537
重庆创之印广告文化传播有限责任公司	106.406364,29.800493
重庆轩智承市政园林工程有限公司	106.533430,29.368363
重庆俊秀建设有限公司	106.920712,29.184076
重庆一分利装饰工程有限公司	106.372026,29.518395
重庆南派尚诚建筑工程咨询有限公司	106.524223,29.599195
重庆市渝北区大盛镇青龙村生产互助农业股份合作社	106.902476,29.887990
重庆远西商贸有限公司	106.495270,29.584938
重庆瑞哲祥建筑劳务有限公司	106.540225,29.394225
重庆罡烽实业集团有限公司	106.511426,29.584467
重庆市二憨建筑劳务有限公司	108.439325,30.762115
重庆悦昂装饰工程有限公司	106.600372,29.601637
重庆博阑特装饰工程有限公司	106.307373,29.582692
重庆渝汇环境工程有限公司	106.566929,29.574277
重庆凯恒实业有限公司	106.572782,29.577003
重庆格禾装饰设计有限公司	106.400220,29.803333
重庆百家汇装饰工程有限公司	106.641845,29.518077
重庆翠微园林工程有限公司	106.542733,29.867257
重庆罗兰蒂装饰工程有限公司	106.571023,29.493574
重庆云优装饰工程有限公司	106.608706,29.648514
重庆尤斯物业服务有限公司	106.569896,29.524992
重庆艺格赛生态农业开发有限公司	106.384495,29.583323
重庆珑豪环保科技有限公司	106.328530,29.418860
重庆高维装饰工程有限公司	106.568352,29.529628
百城（重庆）环境治理工程有限公司	106.483656,29.600958
重庆恒承隆农业开发有限责任公司	106.289741,29.431784
重庆林亦归园林绿化有限公司	106.643331,29.545246
重庆电掌门节能科技有限公司	106.544452,29.399161
重庆昱笠安贸易有限公司	106.511437,29.553098
重庆幸福花装饰设计工程有限公司	106.249447,29.284918
重庆祥力建设工程有限公司	106.529910,29.579749
重庆东宏清洁服务有限公司	106.523407,29.584865
重庆臻鸿信环保科技有限公司	106.556475,29.512636
重庆桨樱浆洲园艺有限责任公司	106.612521,29.690277
重庆自在舍建筑设计有限公司	106.609440,29.648310
重庆菠琅文商贸有限公司	106.642706,29.761571
重庆碧秀花木专业合作社	106.568515,29.867033
重庆鸿源环保科技有限公司	106.605240,29.625856
重庆云鹤装饰设计工程有限责任公司	106.415550,29.825101
重庆市樵苑花木种植场	106.620595,29.445441
重庆丰壤农业科技有限公司	108.439564,30.774625
重庆金珀利实业有限公司	106.609092,29.648641
重庆达多利农业发展有限公司	106.818958,29.273510
重庆辰沃生态农业开发有限公司	106.572254,29.142528
重庆同信源德环境工程有限公司	106.618076,29.697902
重庆恒驰会展服务有限公司	106.591000,29.495500
重庆润恳农业科技有限公司	108.086672,30.743434
重庆嘉豪建筑装饰工程有限公司	106.658288,29.999831
重庆渝美佳清洁服务有限公司	106.523143,29.599044
重庆坤昊园林有限公司	106.561845,29.900655
重庆祥皓建筑安装工程有限公司	106.212549,29.204305
重庆市美琳建筑工程有限责任公司	108.364310,30.824757
重庆市多一家农业发展有限公司	106.522065,29.381439
重庆懒猫家具维修服务有限公司	106.365931,29.612265
重庆杞梓园林绿化有限公司	108.381207,30.797906
重庆恳赛建筑劳务有限公司	108.443912,30.763376
重庆百康清洁服务有限公司	108.374392,30.799045
重庆伟电园林景观工程有限公司	106.597465,29.666109
重庆弥辉建筑设计中心	108.439564,30.774625
重庆鑫钵工程管理有限公司	106.605338,29.685838
重庆斌勇建设工程有限公司	106.560566,29.582696
重庆市江津区清容简兑科技有限公司	106.254349,29.266798
重庆环优保洁服务有限公司	106.531338,29.407676
重庆尧圣装饰工程有限公司	106.603546,29.672604
重庆任德明建筑劳务有限公司	108.494462,30.924816
重庆森太环保工程有限公司	106.537798,29.403029
大臻文化传播（重庆）有限公司	106.576408,29.610049
重庆新澳盛石材有限公司	106.285686,29.443405
重庆恒满装饰工程有限公司	106.509088,29.578875
重庆满宏农业发展有限公司	106.350912,29.517943
重庆瑞舜合装饰工程有限公司	106.517621,29.379546
重庆倍悦建筑劳务有限公司	106.596146,29.596616
重庆奈斯保洁服务有限公司	106.291470,29.432621
重庆鼎创涂料有限公司	106.370603,29.479456
重庆福寿园林工程有限公司	106.406410,29.797739
重庆妮蔻建材有限公司	108.371200,30.796413
重庆新富恒物业管理有限公司	106.531661,29.562974
重庆百脉农业科技有限公司	106.569305,29.530406
重庆市耀旭农业开发有限公司	106.266554,29.236361
重庆丁语树花卉种植股份合作社	106.567922,29.896774
重庆多舜建筑劳务有限公司	106.533840,29.375528
重庆逸兮瑞建筑劳务有限公司	108.381130,30.813854
重庆纭观果蔬股份合作社	106.758791,29.807794
重庆普思新材料科技有限公司	106.569313,29.525601
重庆新易文化科技有限公司	106.545696,29.558899
重庆帝瑞园林景观艺术有限公司	106.543393,29.586733
重庆德必顺建筑劳务有限公司	106.527252,29.580715
重庆市北碚区勤建花木园艺场	106.648353,29.931557
重庆木火广大文化旅游有限公司	106.601721,29.716541
重庆宏朵电子商务有限公司	106.123770,29.176525
重庆禄长园林绿化工程有限公司	106.581713,29.652073
重庆渝艺悦装饰设计有限公司	106.454697,29.567148
重庆潜正装饰工程有限责任公司	106.600400,29.674510
重庆建深环境科技有限公司	106.467755,29.561629
重庆鹏方九如建设工程有限公司	106.644518,29.622520
重庆锦锐禄怡园林景观工程有限责任公司	106.554055,29.433866
重庆森扬建筑劳务有限公司	108.371930,30.824043
重庆汇涛建筑设备租赁有限公司	106.501738,29.383381
重庆荣全天建筑劳务有限公司	106.468876,29.559518
重庆池润园林工程有限公司	106.892419,29.276021
重庆萱淇实业有限公司	106.642706,29.761571
重庆金龙通达旋挖基础工程有限公司	106.304641,29.429401
重庆爱森园林景观工程有限公司	106.496142,29.558610
重庆禾裕梦科技有限公司	106.559628,29.535164
重庆向贤友劳务有限公司	106.502897,29.589849
重庆晨卉保洁有限公司	106.508307,29.381807
重庆正捷泓机电设备有限公司	106.568876,29.560307
小慷在家（重庆）科技有限责任公司	106.530797,29.573275
重庆睿能建筑装饰工程有限公司	查询失败
重庆鹏旭新能源有限公司	106.580668,29.557190
重庆昶乐物业管理有限公司	106.561656,29.576642
重庆沪昇建设工程有限公司	106.562659,29.581333
重庆仰高建筑劳务有限公司	106.526054,29.601724
重庆纽睿工程机械租赁有限公司	106.574528,29.508930
重庆云鑫环保产业发展有限公司	106.454327,29.329076
重庆龙琦建设工程有限公司	106.565521,29.531558
重庆成榆希建材有限公司	106.601443,29.718311
重庆运帷文化创意股份有限公司	106.528837,29.599599
重庆渝舟清洁服务有限公司	106.559832,29.570378
重庆卡萌果树种植专业合作社	106.443521,29.772682
迈思云（重庆）智能科技有限公司	106.300498,29.570157
重庆民助建设（集团）有限公司	106.547170,29.537070
重庆市冯旺环境卫生服务有限公司	106.454352,29.549147
重庆腾光市政园林工程有限公司	106.264847,29.281144
南煌网络信息科技（重庆）有限公司	106.471946,29.731873
重庆金丝顿农业发展有限公司	106.684745,29.214519
重庆志悦科技发展有限公司	106.442595,29.559487
重庆斐宁电子商务有限公司	106.574020,29.532552
重庆悉绿园林绿化有限公司	106.567785,29.892569
重庆道实环境治理有限公司	106.525186,29.582962
重庆勇智船舶修造有限公司	108.410731,30.768718
重庆钦冠电气自动化设备有限公司	106.558817,29.513181
重庆哲里行装饰建材有限公司	106.465191,29.551339
重庆泰庄建筑工程咨询有限公司	查询失败
映有生品牌设计（重庆）有限公司	查询失败
重庆维瑞达节能环保技术有限公司	106.445122,29.822616
重庆浩北建设发展有限公司	查询失败
重庆市金山园林设计有限责任公司	106.630261,29.728371
重庆信栋建筑工程有限公司	108.367642,30.835880
重庆星瀚市政园林工程有限公司	106.537422,29.402975
重庆津城白蚁防治有限公司	106.238165,29.261467
重庆势代环保科技有限公司	106.581213,29.716104
重庆武沧丁建筑劳务有限公司	106.573979,29.525255
重庆凌润物流有限公司	106.612650,29.393411
重庆茂源家政服务有限公司	106.524164,29.579706
重庆图云阁建筑装饰工程有限公司	106.256182,29.281481
重庆天之然环境材料有限公司	106.531289,29.577447
重庆白家建筑工程有限公司	106.288346,29.262878
时光屋极建筑装饰设计工程重庆有限公司	106.522256,29.566997
重庆越翔佳建筑工程有限公司	106.614733,29.701358
重庆银辉劳务有限公司	106.932360,29.718548
重庆寇良建筑工程有限公司	106.629285,29.723748
重庆万伯鸿建筑劳务有限公司	106.515293,29.439740
佳炬迎（重庆）装饰工程有限公司	108.402952,30.747770
重庆中科六度生物科技有限公司	106.531487,29.564036
重庆湖天传媒科技有限公司	106.517120,29.601009
重庆但氏劳务有限公司	106.597013,29.715139
重庆森途机械设备租赁有限公司	106.269248,29.280086
重庆林发园林景观设计有限公司	106.332169,29.423751
重庆市龙凯环保工程咨询有限公司	106.570111,29.497529
重庆桑田环保工程有限公司	106.463868,29.550956
重庆博朗洁科技有限公司	106.363260,29.515393
重庆市万州区多喜乐农业开发有限公司	108.373954,30.808517
重庆弘安建筑工程有限公司	106.310586,29.675866
重庆汉邦劳务有限公司	108.386967,30.776365
重庆云顶山水环境艺术工程有限公司	106.434660,29.543900
重庆微享家工程管理有限公司	106.492999,29.579266
重庆市邱氏装饰工程有限公司	106.533840,29.375528
重庆润燊建筑装饰设计有限公司	106.530171,29.583764
重庆绿隆园林工程有限公司	108.412177,30.761354
重庆春景塘景观设计工程有限公司	106.601786,29.697570
重庆鸿星圆环保科技有限公司	106.372060,29.631439
重庆众成照明科技有限公司	106.559347,29.574642
重庆市乔乡花木种植场	106.616085,29.343208
重庆伊洛梵环境艺术设计有限公司	106.569002,29.526340
重庆市奇建园林工程有限公司	106.542733,29.867257
重庆市江津区梦筱农业专业合作社	106.369025,29.195146
重庆优启装饰工程有限公司	108.379786,30.778943
重庆大赏科技发展有限公司	106.541875,29.519750
重庆圣戈汇环保科技有限公司	106.415445,29.620661
重庆图治水利工程咨询有限公司	106.456764,29.559385
重庆卡顿环保科技有限公司	106.248839,29.285168
重庆皇合农业发展有限公司	106.819869,29.556271
重庆派派建筑工程有限公司	106.484270,29.602641
重庆优冠建设工程有限公司	106.516982,29.570108
重庆恒亚清洁服务有限公司	106.308390,29.599267
重庆万祝建材有限公司	108.395086,30.774503
重庆雪恋春农业开发有限公司	106.441627,29.827032
重庆容明玖花木种植专业合作社	106.568515,29.867033
重庆长惠祥商贸有限公司	106.537287,29.590363
重庆智讯商贸有限公司	106.597418,29.646918
重庆山上山文化创意有限公司	106.291553,29.603130
重庆一片树广告传媒有限公司	106.514521,29.583484
重庆桥桥生态农业发展有限公司	106.607762,29.375629
重庆纪尧实业有限公司	106.606725,29.706840
重庆君宠旅游发展有限公司	106.468565,29.583372
重庆百稼兴农业发展有限公司	106.772936,29.461425
重庆巴山渝水文化旅游发展有限公司	106.586163,29.587397
重庆墨景装饰设计工程有限公司	106.486398,29.735195
重庆中盛特卫物业管理有限公司	106.553904,29.576564
重庆井蛙环保科技有限公司	106.534295,29.468238
重庆风速广告有限公司	106.577456,29.520414
重庆沐森格领装饰设计有限公司	106.472348,29.565414
重庆旺发装饰工程有限公司	106.583150,29.727038
重庆东超丽建筑劳务有限公司	106.261344,29.287191
重庆哲年装饰工程有限公司	106.604683,29.626264
重庆红睿禧商业管理有限公司	106.546769,29.558616
重庆利威装饰设计有限公司	106.567650,29.531201
重庆龙珀花木有限公司	106.567922,29.896774
重庆福彤园艺有限公司	106.575801,29.518451
重庆捷翰物业管理有限公司	106.517950,29.294752
重庆新如渝农业科技有限公司	106.445122,29.822616
重庆名艺佳装饰设计工程有限公司	106.524826,29.556612
重庆三甲半劳务有限公司	106.788529,29.245585
重庆垒森装饰设计工程有限公司	106.496675,29.598842
重庆学润农业开发有限公司	106.479836,29.876642
重庆博鸿园林工程有限公司	106.504963,29.584307
重庆市壮旭农业发展有限公司	106.623473,29.969215
重庆彩虹汽车租赁有限公司	106.845084,29.851817
重庆绿茸翠生态农业发展有限公司	106.940027,29.882643
重庆本发装饰工程有限公司	106.544051,29.396533
重庆运励实业有限公司	106.570386,29.526151
重庆熙洋环保科技有限公司	106.568981,29.480400
重庆美勒森家具有限公司	106.611650,29.666010
重庆钢瑾生态农业发展有限公司	106.651699,29.304052
重庆浩达道路工程有限公司	106.623276,29.471376
重庆德展农业开发有限公司	108.451884,30.842362
重庆鼎沃建筑工程有限公司	106.546277,29.534266
重庆隽执建筑科技有限公司	106.445122,29.822616
重庆乐沛工程机械有限公司	106.609150,29.676480
中工国兴重庆科技有限公司	106.607070,29.656755
重庆新奥蓝实业有限公司	106.530838,29.578498
重庆宝祥科技发展有限公司	106.578507,29.534301
重庆菩藤装饰设计有限公司	106.497810,29.598280
重庆贝创优蓝环保技术有限公司	106.499270,29.585171
重庆三加六建筑劳务有限公司	106.374265,29.599956
重庆瑞通管道有限公司	106.516427,29.539749
重庆蓝纪建筑工程有限公司	106.622061,29.703813
重庆路旺达商贸有限公司	106.388540,29.800460
重庆巳逾劳务有限责任公司	106.601476,29.684411
重庆市艳桂花木种植专业合作社	106.568515,29.867033
重庆静联花木股份合作社联合社	106.561845,29.900655
重庆瀚桦建筑设计咨询有限公司	106.593302,29.551974
重庆近平工程勘测设计有限公司	106.577246,29.536127
葳蕤园林景观设计（重庆）有限责任公司	106.636945,29.497970
重庆御圣居装饰工程有限公司	106.308439,29.599452
重庆点波环保科技有限公司	106.450917,29.525756
重庆妙品沉香文化传播有限公司	106.525276,29.555610
重庆德维芙建筑工程有限公司	106.570324,29.595546
重庆溯洄市政工程有限公司	106.589347,29.601278
重庆市艺燕生态农业发展有限公司	106.644912,29.800449
重庆正仁良建筑劳务有限公司	106.572355,29.527376
重庆惠湖佳劳务有限公司	106.606725,29.545888
重庆巨云建筑工程有限公司	106.623532,29.671865
重庆玖拾玖建筑工程有限公司	106.644428,29.500297
重庆好享家装饰工程设计有限公司	106.560632,29.535714
重庆秋驰环境科技有限公司	查询失败
重庆优益联广告装饰工程有限公司	106.560949,29.591908
重庆百壹迪生态农业有限公司	106.366201,29.467408
重庆中迪鸿装饰工程有限公司	106.601443,29.718311
喻禧恒（重庆）商业管理有限公司	106.493631,29.569566
重庆博田劳务服务有限公司	106.596278,29.686638
重庆中万机电有限公司	查询失败
重庆市心月湾民宿经营管理有限公司	108.490285,30.856546
重庆市润扬环保科技有限公司	查询失败
重庆鸥驰物业管理有限公司	106.446330,29.550310
重庆均巧园林绿化有限公司	106.569896,29.524992
重庆禹阔建筑安装有限公司	106.148912,29.207070
重庆晟亿兴实业有限公司	106.377425,29.672705
重庆几度空间建筑装饰工程有限公司	106.455856,29.565805
重庆嬴博洛机电技术中心	106.625719,29.322778
重庆鼎力智能装备有限公司	108.439564,30.774625
重庆军联花木专业合作社	106.570188,29.895387
重庆庆耀人力资源服务部	106.593536,29.548412
重庆美邻臻品生态农业科技有限公司	106.585144,29.639251
重庆海灵威农业开发有限公司	106.328869,29.682867
重庆中麟节能环保科技有限公司	106.413106,29.822030
重庆远必达环保科技有限公司	106.396491,29.799302
重庆沐林医疗器械有限公司	106.511947,29.557829
重庆泽登建筑劳务有限公司	106.367453,29.610787
重庆金尚建筑工程技术有限公司	106.613565,29.687507
重庆兴筑商贸有限公司	106.708816,29.888572
重庆更上物业管理有限公司	106.627602,29.703164
重庆鑫云再生资源回收有限公司	106.411908,29.568072
重庆岑芝农业发展有限公司	106.609049,29.716865
重庆青荳电子商务有限责任公司	106.388566,29.635175
重庆合融建筑工程有限公司	106.583150,29.727038
重庆互环生态农业旅游开发有限公司	106.602416,29.597780
重庆星迈建筑装饰工程有限公司	106.568195,29.527303
重庆尚环建筑劳务有限公司	106.648812,29.505489
重庆君之源建材经营部	106.620620,29.708230
重庆布里茨建筑维修工程有限公司	106.299558,29.583990
重庆新派恩特科技有限公司	108.401606,30.756378
重庆利万家工程项目管理有限公司	106.518348,29.579666
重庆聚品行装饰工程有限公司	106.519790,29.582592
重庆优宏农业发展有限公司	106.664314,29.429763
重庆渝津环卫服务有限公司	106.268116,29.281165
重庆篆道建筑工程有限公司	106.594368,29.581957
重庆臻丞园林工程有限公司	106.660830,29.606718
重庆惠楠桥劳务有限公司	108.251606,30.654916
重庆心发现旅游规划设计有限责任公司	查询失败
重庆市尚匠园林设计有限公司	106.567626,29.641643
重庆德青商业经营管理有限公司	106.498090,29.571545
重庆渝城嘉瑞科技有限公司	106.472348,29.565414
重庆冉耀苗圃场	106.291996,29.217056
重庆正林市政设施有限公司	106.533270,29.582768
重庆途豆建筑装饰工程有限公司	106.505837,29.378359
重庆如今电子商务有限公司	106.568584,29.532234
重庆康顿环保科技有限责任公司	106.472348,29.565414
重庆金裕商贸有限公司	106.511771,29.582261
重庆砺德商业管理有限公司	106.561759,29.527534
重庆盘树建筑劳务有限公司	查询失败
重庆雨筑园林景观工程有限公司	106.521380,29.598791
重庆辰坤企业管理有限责任公司	106.608151,29.708867
重庆腾联建筑工程有限公司	106.590439,29.583234
重庆周递莱电子商务有限公司	106.565544,29.529752
重庆莱富合物业管理有限公司	106.564107,29.580890
重庆诚力装饰工程有限公司	106.588220,29.540706
重庆中祚供应链管理有限公司	查询失败
重庆恒众实业有限公司	106.278596,29.420261
重庆创时皓电子商务有限公司	106.652843,29.741996
重庆祥烨建筑装饰工程有限公司	106.457000,29.558750
重庆新福地商业管理有限公司	106.441172,29.559787
重庆福生鑫健康科技有限公司	106.563770,29.528752
重庆航全建筑劳务有限公司	106.415267,29.823766
重庆铂麟建设工程有限公司	106.556940,29.559513
重庆柯业人力资源管理有限公司	106.539840,29.573540
重庆创艺生态环境有限公司	106.472348,29.565414
重庆先昇园林工程有限公司	106.328374,29.621809
重庆方博园林工程有限公司	106.431241,29.815139
重庆艺居峰装饰设计工程有限公司	106.483132,29.586025
重庆先泽富宇建材有限公司	106.518237,29.465253
重庆加启利商贸有限公司	106.622015,29.664165
重庆岑瑞建筑工程有限公司	106.533840,29.375528
重庆知欣建筑装饰工程有限公司	106.642755,29.931923
重庆万虹电力有限公司	106.623077,29.702876
重庆龙紫辰文化旅游发展有限公司	106.250120,29.273779
重庆叁人行环境工程有限公司	106.525336,29.583631
重庆宝螺农业开发有限公司	106.313155,29.146263
重庆竹云间生态农业有限公司	106.827700,29.207171
重庆江正后勤服务有限责任公司	106.264141,29.319915
重庆永洋建筑设备租赁有限公司	106.606999,29.700980
重庆雷雨装饰工程有限公司	106.369787,29.762066
重庆纽莱物业管理有限公司	106.495636,29.586542
重庆全春环境科技有限公司	106.307861,29.592503
